0,Lionel,"['telephone', 'restaurant', 'zip code', 'state', 'country', 'latitude', 'longitude', 'opening hours', 'days of the week', 'none']"
4,Lionel,"['telephone', 'restaurant', 'zip code', 'state']"
6,Lionel,"['test', 'test', 'test', 'test', 'test']"
4,Lionel,"['test', 'test', 'test', 'test']"
0,Lionel,"['telephone', 'test', 'test', 'test', 'test', 'test', 'test', 'test', 'test', 'test']"
0,Lionel,"['feder', '', '', '', '', '', '', '', '', '']"
0,Lionel,"['Turing test', None, None, None, None, None, None, None, None, None]"
0,Lionel,"['project', None, None, None, None, None, None, None, None, None]"
0,Lionel,"['Turing test', None, None, None, None, None, None, None, None, None]"
0,Lionel,"['Turing test', None, None, None, None, None, None, None, None, None]"
0,Lionel,"[None, None, None, None, None, None, None, None, None, None]"
0,Lionel,"['abc', 'data mining', None, None, None, None, None, None, None, None]"
1,Lionel,"['Turing test', None, None, None, None, None, None]"
1,Lionel,"[None, None, None, None, None, None, None]"
1,Lionel,"[None, None, None, None, None, None, None]"
1,2023-10-26 11:08:01.223543,Lionel,"['Turing test', None, None, None, None, None, None]"
Restaurant_marinabaysands.com_September2020_CTA.json.gz,2023-10-26 11:13:36.502692,Lionel,"['Turing test', None, None, None, None, None, None]"
Restaurant_menumate.com.au_September2020_CTA.json.gz,2023-10-26 11:20:45.148390,Lionel,"['machine learning model', 'active runtime', 'read', 'abc', None]"
